precision_0,precision_1,precision_2,recall_0,recall_1,recall_2,thresholds0,thresholds1,thresholds2
0.21739130434782608,0.21739130434782608,0.5652173913043478,1.0,1.0,1.0,-13.206673046882845,-11.658620103577567,-8.364188301075544
0.2222222222222222,0.2222222222222222,0.5777777777777777,1.0,1.0,1.0,-13.155473027780797,-11.492511366073149,-8.172550366310402
0.22727272727272727,0.22727272727272727,0.5909090909090909,1.0,1.0,1.0,-11.576340980855257,-11.245320600085924,-8.12891374810878
0.23255813953488372,0.23255813953488372,0.5813953488372093,1.0,1.0,0.9615384615384616,-11.093791776312266,-10.79204770411593,-7.81428713135195
0.23809523809523808,0.23809523809523808,0.5952380952380952,1.0,1.0,0.9615384615384616,-10.99885441006628,-10.45799676744615,-7.32805221875747
0.24390243902439024,0.24390243902439024,0.6097560975609756,1.0,1.0,0.9615384615384616,-10.934291437664871,-10.447089496655517,-7.304142081299629
0.25,0.25,0.625,1.0,1.0,0.9615384615384616,-10.892373356577359,-10.095525539030167,-7.051019334410391
0.2564102564102564,0.2564102564102564,0.6410256410256411,1.0,1.0,0.9615384615384616,-10.483671457355968,-10.075264272018112,-6.822866795758239
0.2631578947368421,0.2631578947368421,0.6578947368421053,1.0,1.0,0.9615384615384616,-10.37390201967946,-9.998856192976895,-6.7760633699966935
0.2702702702702703,0.2702702702702703,0.6756756756756757,1.0,1.0,0.9615384615384616,-10.342154099818806,-9.911605846255586,-6.771382698769827
0.2777777777777778,0.2777777777777778,0.6944444444444444,1.0,1.0,0.9615384615384616,-10.030851264507824,-9.659812703400338,-6.502442282602642
0.2857142857142857,0.2857142857142857,0.7142857142857143,1.0,1.0,0.9615384615384616,-9.631644079477516,-9.57141353804697,-6.216009015503738
0.29411764705882354,0.29411764705882354,0.7352941176470589,1.0,1.0,0.9615384615384616,-9.385989347361921,-9.379799201393691,-6.068568488209435
0.30303030303030304,0.30303030303030304,0.7575757575757576,1.0,1.0,0.9615384615384616,-9.271489007955012,-9.310948727157761,-5.911367731193373
0.3125,0.3125,0.78125,1.0,1.0,0.9615384615384616,-9.260074054950987,-8.902375773526439,-5.758736780026828
0.3225806451612903,0.3225806451612903,0.8064516129032258,1.0,1.0,0.9615384615384616,-9.241586246005905,-8.78838835289976,-5.626193062089768
0.3333333333333333,0.3333333333333333,0.8333333333333334,1.0,1.0,0.9615384615384616,-9.028104300271679,-8.688620121081659,-5.509839723069643
0.3448275862068966,0.3448275862068966,0.8620689655172413,1.0,1.0,0.9615384615384616,-8.216593233495601,-8.384815197619979,-5.284725827551804
0.35714285714285715,0.35714285714285715,0.8928571428571429,1.0,1.0,0.9615384615384616,-8.157038478917412,-7.762745416610384,-5.263980090320558
0.37037037037037035,0.37037037037037035,0.9259259259259259,1.0,1.0,0.9615384615384616,-8.041717571657196,-7.601313151732132,-5.259299348138996
0.38461538461538464,0.38461538461538464,0.9615384615384616,1.0,1.0,0.9615384615384616,-7.88934066330857,-7.104010228864487,-3.6014200756136767
0.4,0.4,1.0,1.0,1.0,0.9615384615384616,-7.196471257546848,-7.0975058176966215,-1.1662204364486075
0.4166666666666667,0.4166666666666667,1.0,1.0,1.0,0.9230769230769231,-7.159873414004581,-6.855990972413851,-0.25805434816191086
0.43478260869565216,0.43478260869565216,1.0,1.0,1.0,0.8846153846153846,-6.839646388079926,-5.950796830443501,-0.19461762214847678
0.45454545454545453,0.45454545454545453,1.0,1.0,1.0,0.8461538461538461,-6.237353622918361,-5.307159897432486,-0.17141697718262172
0.47619047619047616,0.47619047619047616,1.0,1.0,1.0,0.8076923076923077,-2.823124132090659,-2.6153302931830575,-0.05812273163520265
0.5,0.45,1.0,1.0,0.9,0.7692307692307693,-0.8587840129502231,-0.9216806752165545,0.5462858459393702
0.5263157894736842,0.47368421052631576,1.0,1.0,0.9,0.7307692307692307,-0.664380156063408,-0.6789035175355531,0.5892467202539606
0.5555555555555556,0.4444444444444444,1.0,1.0,0.8,0.6923076923076923,-0.595880448266545,-0.5317440033772716,0.9238801952556992
0.5882352941176471,0.4117647058823529,1.0,1.0,0.7,0.6538461538461539,-0.3526550829648789,-0.37822515788218514,1.2672689596324083
0.5625,0.375,1.0,0.9,0.6,0.6153846153846154,-0.025753879135455904,-0.014495401083975956,1.349475994460768
0.6,0.3333333333333333,1.0,0.9,0.5,0.5769230769230769,0.053155612723911894,-0.014087618048083783,1.4866790412426365
0.5714285714285714,0.2857142857142857,1.0,0.8,0.4,0.5384615384615384,0.17816460548811097,0.10514049635401257,1.7033009162717438
0.6153846153846154,0.23076923076923078,1.0,0.8,0.3,0.5,0.2462313622342922,0.2827149631633201,1.765436356367624
0.5833333333333334,0.25,1.0,0.7,0.3,0.46153846153846156,0.8626179847799404,0.4824740234243263,2.112475635189569
0.5454545454545454,0.2727272727272727,1.0,0.6,0.3,0.4230769230769231,1.0209679606782212,0.7553408146726444,2.2368391249444906
0.6,0.3,1.0,0.6,0.3,0.38461538461538464,1.2295601598384627,0.9543838078155584,2.2744311694288766
0.6666666666666666,0.3333333333333333,1.0,0.6,0.3,0.34615384615384615,1.4517613095057111,1.06134768769605,2.5370600986958736
0.625,0.375,1.0,0.5,0.3,0.3076923076923077,1.7614591215896338,1.2129644999651576,2.5588765549938235
0.5714285714285714,0.42857142857142855,1.0,0.4,0.3,0.2692307692307692,1.8102875390438546,1.3868644538711061,2.5857667477708755
0.5,0.3333333333333333,1.0,0.3,0.2,0.23076923076923078,1.9973845694630539,1.526286337278905,2.7729564469839736
